sample Items	X0	X1		out		list0			list1			list2			list3			list4			list5			list6			list7			list8		
140	910	-722	==>	3												910	-722															
141	-353	961	==>	3												-353	961															
142	484	-799	==>	3												484	-799															
143	-6	165	==>	0			-6	165																								
144	516	853	==>	3												516	853															
145	902	-434	==>	3												902	-434															
146	-264	570	==>	2									-264	570																		
147	781	-441	==>	3												781	-441															
148	-471	12	==>	1						-471	12																					
149	-324	-433	==>	2									-324	-433																		
150	8	864	==>	3												8	864															
151	-474	-907	==>	3												-474	-907															
152	958	-615	==>	3												958	-615															
153	-931	-636	==>	3												-931	-636															
154	910	70	==>	3												910	70															
155	-649	283	==>	2									-649	283																		
156	-661	3	==>	2									-661	3																		
157	524	-883	==>	3												524	-883															
158	30	-563	==>	2									30	-563																		
159	-475	651	==>	3												-475	651															
160	310	-400	==>	2									310	-400																		
161	-751	-979	==>	3												-751	-979															
162	489	963	==>	3												489	963															
163	-675	-906	==>	3												-675	-906															
164	-325	24	==>	1						-325	24																					
165	508	-378	==>	2									508	-378																		
166	129	476	==>	1						129	476																					
167	-879	377	==>	3												-879	377															
168	-35	93	==>	0			-35	93																								
169	-413	-928	==>	3												-413	-928															
170	-307	675	==>	2									-307	675																		
171	81	273	==>	1						81	273																					
172	913	66	==>	3												913	66															
173	-496	776	==>	3												-496	776															
174	482	610	==>	3												482	610															
175	319	321	==>	1						319	321																					
176	212	-527	==>	2									212	-527																		
177	-403	-646	==>	3												-403	-646															
178	544	-997	==>	3												544	-997															
179	630	-123	==>	2									630	-123																		
180	-603	-994	==>	3												-603	-994															
181	648	-376	==>	2									648	-376																		
182	-426	-445	==>	2									-426	-445																		
183	-648	709	==>	3												-648	709															
184	374	106	==>	1						374	106																					
185	808	751	==>	3												808	751															
186	88	52	==>	0			88	52																								
187	-841	-673	==>	3												-841	-673															
188	-858	-864	==>	3												-858	-864															
189	910	-914	==>	3												910	-914															
190	-966	-927	==>	3												-966	-927															
191	-828	-307	==>	3												-828	-307															
192	84	-137	==>	0			84	-137																								
193	-896	72	==>	3												-896	72															
194	720	854	==>	3												720	854															
195	-750	879	==>	3												-750	879															
196	-892	263	==>	3												-892	263															
197	286	-721	==>	3												286	-721															
198	205	-143	==>	0			205	-143																								
199	292	578	==>	2									292	578																		
200	-225	-291	==>	1						-225	-291																					
201	932	507	==>	3												932	507															
202	-375	-188	==>	1						-375	-188																					
203	-491	-1	==>	1						-491	-1																					
204	-659	-976	==>	3												-659	-976															
205	-847	-470	==>	3												-847	-470															
206	-574	59	==>	2									-574	59																		
207	-645	795	==>	3												-645	795															
208	814	305	==>	3												814	305															
209	934	233	==>	3												934	233															
210	40	9	==>	0			40	9																								
211	131	-545	==>	2									131	-545																		
212	-540	897	==>	3												-540	897															
213	-814	201	==>	3												-814	201															
214	-271	-685	==>	2									-271	-685																		
215	-806	-443	==>	3												-806	-443															
216	351	-317	==>	1						351	-317																					
217	516	-432	==>	2									516	-432																		
218	893	102	==>	3												893	102															
219	-683	-855	==>	3												-683	-855															
220	-499	-747	==>	3												-499	-747															
221	209	282	==>	1						209	282																					
222	901	126	==>	3												901	126															
223	535	391	==>	2									535	391																		
224	-901	-310	==>	3												-901	-310															
225	-96	801	==>	3												-96	801															
226	584	841	==>	3												584	841															
227	268	36	==>	1						268	36																					
228	916	501	==>	3												916	501															
229	759	774	==>	3												759	774															
230	55	-463	==>	1						55	-463																					
231	139	-405	==>	1						139	-405																					
232	-256	168	==>	1						-256	168																					
233	-581	-147	==>	2									-581	-147																		
234	-959	389	==>	3												-959	389															
235	383	-8	==>	1						383	-8																					
236	988	-511	==>	3												988	-511															
237	-285	288	==>	1						-285	288																					
238	468	9	==>	1						468	9																					
239	425	-28	==>	1						425	-28																					
240	-910	188	==>	3												-910	188															
241	48	-487	==>	1						48	-487																					
242	-574	-877	==>	3												-574	-877															
243	264	-213	==>	1						264	-213																					
244	964	379	==>	3												964	379															
245	860	73	==>	3												860	73															
246	-276	310	==>	1						-276	310																					
247	-744	-275	==>	3												-744	-275															
248	186	-202	==>	1						186	-202																					
249	-930	833	==>	3												-930	833															
250	-940	-543	==>	3												-940	-543															
251	-665	855	==>	3												-665	855															
252	194	322	==>	1						194	322																					
253	-263	-817	==>	3												-263	-817															
254	199	-315	==>	1						199	-315																					
255	-435	-240	==>	1						-435	-240																					
256	-37	114	==>	0			-37	114																								
257	623	-422	==>	3												623	-422															
258	694	-919	==>	3												694	-919															
259	769	-612	==>	3												769	-612															
260	545	-21	==>	2									545	-21																		
261	-656	294	==>	2									-656	294																		
262	340	310	==>	1						340	310																					
263	-504	143	==>	2									-504	143																		
264	-634	-220	==>	2									-634	-220																		
265	-664	-895	==>	3												-664	-895															
266	-993	-161	==>	3												-993	-161															
267	411	-787	==>	3												411	-787															
268	965	839	==>	3												965	839															
269	-80	941	==>	3												-80	941															
270	369	-256	==>	1						369	-256																					
271	891	275	==>	3												891	275															
272	274	706	==>	3												274	706															
273	106	545	==>	2									106	545																		
274	727	693	==>	3												727	693															
275	47	679	==>	2									47	679																		
276	763	887	==>	3												763	887															
277	500	403	==>	2									500	403																		
278	65	747	==>	2									65	747																		
279	213	128	==>	0			213	128																								
280	-435	-614	==>	3												-435	-614															
281	-695	386	==>	3												-695	386															
282	-76	957	==>	3												-76	957															
283	681	-379	==>	3												681	-379															
284	-258	700	==>	2									-258	700																		
285	773	659	==>	3												773	659															
286	-899	445	==>	3												-899	445															
287	602	-13	==>	2									602	-13																		
288	-752	131	==>	3												-752	131															
289	196	-914	==>	3												196	-914															
290	489	474	==>	2									489	474																		
291	754	-198	==>	3												754	-198															
292	-173	-808	==>	3												-173	-808															
293	-155	-372	==>	1						-155	-372																					
294	119	-635	==>	2									119	-635																		
295	801	120	==>	3												801	120															
296	523	461	==>	2									523	461																		
297	-284	-483	==>	2									-284	-483																		
298	-511	-799	==>	3												-511	-799															
299	-742	-981	==>	3												-742	-981															
300	420	61	==>	1						420	61																					
301	-757	556	==>	3												-757	556															
302	715	587	==>	3												715	587															
303	76	875	==>	3												76	875															
304	-81	-519	==>	2									-81	-519																		
305	243	-575	==>	2									243	-575																		
306	-421	252	==>	1						-421	252																					
307	812	-374	==>	3												812	-374															
308	105	-885	==>	3												105	-885															
309	-674	-820	==>	3												-674	-820															
310	788	9	==>	3												788	9															
311	271	857	==>	3												271	857															
312	-215	-654	==>	2									-215	-654																		
313	98	-754	==>	3												98	-754															
314	789	-942	==>	3												789	-942															
315	-350	208	==>	1						-350	208																					
316	704	-428	==>	3												704	-428															
317	-150	-26	==>	0			-150	-26																								
318	-615	-503	==>	3												-615	-503															
319	-49	85	==>	0			-49	85																								
320	-437	775	==>	3												-437	775															
321	-400	480	==>	2									-400	480																		
322	-203	-820	==>	3												-203	-820															
323	967	-680	==>	3												967	-680															
324	-578	-620	==>	3												-578	-620															
325	-319	961	==>	3												-319	961															
326	-301	278	==>	1						-301	278																					
327	-327	-188	==>	1						-327	-188																					
328	-76	522	==>	2									-76	522																		
329	-368	-912	==>	3												-368	-912															
330	768	338	==>	3												768	338															
331	-587	-844	==>	3												-587	-844															
332	109	-330	==>	1						109	-330																					
333	-802	-192	==>	3												-802	-192															
334	-517	608	==>	3												-517	608															
335	-306	-588	==>	2									-306	-588																		
336	46	-256	==>	1						46	-256																					
337	58	-496	==>	1						58	-496																					
338	-424	937	==>	3												-424	937															
339	-421	431	==>	2									-421	431																		
340	-588	496	==>	3												-588	496															
341	516	783	==>	3												516	783															
342	-31	-914	==>	3												-31	-914															
343	-326	-387	==>	2									-326	-387																		
344	-250	-602	==>	2									-250	-602																		
345	-497	36	==>	1						-497	36																					
346	-220	-616	==>	2									-220	-616																		
347	926	-656	==>	3												926	-656															
348	819	-708	==>	3												819	-708															
349	678	428	==>	3												678	428															
350	11	-896	==>	3												11	-896															
351	-831	243	==>	3												-831	243															
352	-91	259	==>	1						-91	259																					
353	198	875	==>	3												198	875															
354	410	530	==>	2									410	530																		
355	-163	806	==>	3												-163	806															
356	-836	-176	==>	3												-836	-176															
357	227	439	==>	1						227	439																					
358	921	-547	==>	3												921	-547															
359	-233	760	==>	3												-233	760															
360	667	-121	==>	2									667	-121																		
361	-667	-148	==>	2									-667	-148																		
362	-403	-142	==>	1						-403	-142																					
363	-244	982	==>	3												-244	982															
364	-818	-918	==>	3												-818	-918															
365	905	977	==>	3												905	977															
366	609	699	==>	3												609	699															
367	-500	269	==>	2									-500	269																		
368	-148	686	==>	2									-148	686																		
369	-532	-690	==>	3												-532	-690															
370	-433	-506	==>	2									-433	-506																		
371	-673	590	==>	3												-673	590															
372	-854	509	==>	3												-854	509															
373	-708	-15	==>	2									-708	-15																		
374	-709	-639	==>	3												-709	-639															
375	-941	-300	==>	3												-941	-300															
376	-462	440	==>	2									-462	440																		
377	-35	990	==>	3												-35	990															
378	625	-827	==>	3												625	-827															
379	372	-203	==>	1						372	-203																					
380	-569	612	==>	3												-569	612															
381	144	-714	==>	2									144	-714																		
382	-455	785	==>	3												-455	785															
383	990	-525	==>	3												990	-525															
384	464	-32	==>	1						464	-32																					
385	536	212	==>	2									536	212																		
386	158	684	==>	2									158	684																		
387	893	-910	==>	3												893	-910															
388	-289	195	==>	1						-289	195																					
389	-669	246	==>	2									-669	246																		
390	-336	467	==>	2									-336	467																		
391	-516	821	==>	3												-516	821															
392	-969	56	==>	3												-969	56															
393	-539	-543	==>	3												-539	-543															
394	687	-375	==>	3												687	-375															
395	778	244	==>	3												778	244															
396	-822	27	==>	3												-822	27															
397	664	739	==>	3												664	739															
398	503	930	==>	3												503	930															
399	-792	-559	==>	3												-792	-559															
400	926	-460	==>	3												926	-460															
401	859	544	==>	3												859	544															
402	-853	-940	==>	3												-853	-940															
403	-573	-875	==>	3												-573	-875															
404	161	-980	==>	3												161	-980															
405	-736	-833	==>	3												-736	-833															
406	-388	-176	==>	1						-388	-176																					
407	237	33	==>	0			237	33																								
408	54	624	==>	2									54	624																		
409	-463	734	==>	3												-463	734															
410	-979	-734	==>	3												-979	-734															
411	672	-489	==>	3												672	-489															
412	275	321	==>	1						275	321																					
413	-826	631	==>	3												-826	631															
414	-627	807	==>	3												-627	807															
415	-673	-816	==>	3												-673	-816															
416	-554	-238	==>	2									-554	-238																		
417	764	389	==>	3												764	389															
418	-736	543	==>	3												-736	543															
419	566	249	==>	2									566	249																		
420	-316	126	==>	1						-316	126																					
421	368	-612	==>	2									368	-612																		
422	984	-275	==>	3												984	-275															
423	479	322	==>	2									479	322																		
424	-672	-245	==>	2									-672	-245																		
425	-89	-493	==>	2									-89	-493																		
426	-856	-537	==>	3												-856	-537															
427	-639	-918	==>	3												-639	-918															
428	30	277	==>	1						30	277																					
429	-403	-624	==>	2									-403	-624																		
430	-896	624	==>	3												-896	624															
431	571	527	==>	3												571	527															
432	-747	709	==>	3												-747	709															
433	579	952	==>	3												579	952															
434	734	378	==>	3												734	378															
435	858	312	==>	3												858	312															
436	490	-495	==>	2									490	-495																		
437	-778	-899	==>	3												-778	-899															
438	615	-925	==>	3												615	-925															
439	-938	-512	==>	3												-938	-512															
440	-191	-368	==>	1						-191	-368																					
441	310	-498	==>	2									310	-498																		
442	-872	900	==>	3												-872	900															
443	-664	821	==>	3												-664	821															
444	-871	-45	==>	3												-871	-45															
445	-133	-272	==>	1						-133	-272																					
446	846	-525	==>	3												846	-525															
447	-656	-833	==>	3												-656	-833															
448	-967	-187	==>	3												-967	-187															
449	-143	562	==>	2									-143	562																		
450	770	695	==>	3												770	695															
451	815	-888	==>	3												815	-888															
452	955	504	==>	3												955	504															
453	-28	403	==>	1						-28	403																					
454	-25	19	==>	0			-25	19																								
455	-414	764	==>	3												-414	764															
456	-949	501	==>	3												-949	501															
457	109	431	==>	1						109	431																					
458	893	801	==>	3												893	801															
459	777	-325	==>	3												777	-325															
460	496	-7	==>	1						496	-7																					
461	784	346	==>	3												784	346															
462	-398	-150	==>	1						-398	-150																					
463	-694	-46	==>	2									-694	-46																		
464	849	212	==>	3												849	212															
465	583	668	==>	3												583	668															
466	785	-626	==>	3												785	-626															
467	210	-825	==>	3												210	-825															
468	-229	-599	==>	2									-229	-599																		
469	-793	949	==>	3												-793	949															
470	-838	885	==>	3												-838	885															
471	561	979	==>	3												561	979															
472	59	-816	==>	3												59	-816															
473	-93	701	==>	2									-93	701																		
474	-576	919	==>	3												-576	919															
475	-167	-680	==>	2									-167	-680																		
476	-702	303	==>	3												-702	303															
477	-64	661	==>	2									-64	661																		
478	-646	-517	==>	3												-646	-517															
479	-265	828	==>	3												-265	828															
480	224	761	==>	3												224	761															
481	-35	-154	==>	0			-35	-154																								
482	-744	44	==>	2									-744	44																		
483	425	542	==>	2									425	542																		
484	576	179	==>	2									576	179																		
485	733	299	==>	3												733	299															
486	908	105	==>	3												908	105															
487	-755	43	==>	3												-755	43															
488	83	210	==>	0			83	210																								
489	-479	-947	==>	3												-479	-947															
490	-527	-886	==>	3												-527	-886															
491	-92	163	==>	0			-92	163																								
492	-277	944	==>	3												-277	944															
493	-651	363	==>	2									-651	363																		
494	-848	284	==>	3												-848	284															
495	-50	889	==>	3												-50	889															
496	-299	454	==>	2									-299	454																		
497	432	-995	==>	3												432	-995															
498	-711	6	==>	2									-711	6																		
499	-325	-12	==>	1						-325	-12																					
500	465	183	==>	1						465	183																					
501	10	-81	==>	0			10	-81																								
502	932	-143	==>	3												932	-143															
503	155	-187	==>	0			155	-187																								
504	-252	608	==>	2									-252	608																		
505	-795	566	==>	3												-795	566															
506	-358	559	==>	2									-358	559																		
507	24	127	==>	0			24	127																								
508	556	114	==>	2									556	114																		
509	-518	695	==>	3												-518	695															
510	-540	-511	==>	2									-540	-511																		
511	-332	-33	==>	1						-332	-33																					
512	416	-787	==>	3												416	-787															
513	-367	963	==>	3												-367	963															
514	-236	-471	==>	2									-236	-471																		
515	-214	-200	==>	1						-214	-200																					
516	-442	37	==>	1						-442	37																					
517	68	829	==>	3												68	829															
518	-769	-791	==>	3												-769	-791															
519	-144	-338	==>	1						-144	-338																					
520	-866	-22	==>	3												-866	-22															
521	-782	-985	==>	3												-782	-985															
522	379	-601	==>	2									379	-601																		
523	-756	-920	==>	3												-756	-920															
524	-747	-706	==>	3												-747	-706															
525	19	-330	==>	1						19	-330																					
526	945	-356	==>	3												945	-356															
527	-566	973	==>	3												-566	973															
528	-604	667	==>	3												-604	667															
529	83	878	==>	3												83	878															
530	270	198	==>	1						270	198																					
531	626	993	==>	3												626	993															
532	997	-279	==>	3												997	-279															
533	25	-43	==>	0			25	-43																								
534	787	978	==>	3												787	978															
535	-695	-310	==>	3												-695	-310															
536	130	-803	==>	3												130	-803															
537	255	-278	==>	1						255	-278																					
538	-879	-123	==>	3												-879	-123															
539	-972	402	==>	3												-972	402															
540	643	-252	==>	2									643	-252																		
541	-569	-869	==>	3												-569	-869															
542	123	620	==>	2									123	620																		
543	-947	770	==>	3												-947	770															
544	610	-623	==>	3												610	-623															
545	-558	246	==>	2									-558	246																		
546	517	-299	==>	2									517	-299																		
547	-319	-683	==>	3												-319	-683															
548	167	926	==>	3												167	926															
549	-215	-216	==>	1						-215	-216																					
550	-784	-698	==>	3												-784	-698															
551	-924	729	==>	3												-924	729															
552	85	-281	==>	1						85	-281																					
553	-551	-861	==>	3												-551	-861															
554	-852	-872	==>	3												-852	-872															
555	880	993	==>	3												880	993															
556	-982	810	==>	3												-982	810															
557	-944	549	==>	3												-944	549															
558	922	-395	==>	3												922	-395															
559	295	-623	==>	2									295	-623																		
560	-867	41	==>	3												-867	41															
561	-118	-749	==>	3												-118	-749															
562	146	693	==>	2									146	693																		
563	-740	-750	==>	3												-740	-750															
564	-955	273	==>	3												-955	273															
565	-312	267	==>	1						-312	267																					
566	-806	-367	==>	3												-806	-367															
567	215	-86	==>	0			215	-86																								
568	934	-508	==>	3												934	-508															
569	719	-382	==>	3												719	-382															
570	376	-321	==>	1						376	-321																					
571	705	-303	==>	3												705	-303															
572	-312	385	==>	1						-312	385																					
573	667	-770	==>	3												667	-770															
574	-876	-464	==>	3												-876	-464															
575	623	-533	==>	3												623	-533															
576	198	-927	==>	3												198	-927															
577	-849	417	==>	3												-849	417															
578	-653	-498	==>	3												-653	-498															
579	-714	353	==>	3												-714	353															
580	-154	520	==>	2									-154	520																		
581	82	133	==>	0			82	133																								
582	-45	-822	==>	3												-45	-822															
583	-264	-465	==>	2									-264	-465																		
584	-355	174	==>	1						-355	174																					
585	71	638	==>	2									71	638																		
586	-294	-267	==>	1						-294	-267																					
587	877	-345	==>	3												877	-345															
588	990	-342	==>	3												990	-342															
589	-383	-326	==>	2									-383	-326																		
590	-510	-548	==>	2									-510	-548																		
591	-535	-693	==>	3												-535	-693															
592	500	-192	==>	2									500	-192																		
593	215	608	==>	2									215	608																		
594	944	-584	==>	3												944	-584															
595	-271	-219	==>	1						-271	-219																					
596	-186	-292	==>	1						-186	-292																					
597	180	799	==>	3												180	799															
598	226	27	==>	0			226	27																								
599	-871	185	==>	3												-871	185															
600	633	-432	==>	3												633	-432															
601	-134	447	==>	1						-134	447																					
602	-898	24	==>	3												-898	24															
603	-259	-828	==>	3												-259	-828															
604	-928	-830	==>	3												-928	-830															
605	903	-921	==>	3												903	-921															
606	634	145	==>	2									634	145																		
607	723	245	==>	3												723	245															
608	967	512	==>	3												967	512															
609	-304	-191	==>	1						-304	-191																					
610	42	263	==>	1						42	263																					
611	169	-228	==>	1						169	-228																					
612	429	-335	==>	2									429	-335																		
613	-15	452	==>	1						-15	452																					
614	506	23	==>	2									506	23																		
615	278	-28	==>	1						278	-28																					
616	-303	830	==>	3												-303	830															
617	-666	-448	==>	3												-666	-448															
618	-57	-962	==>	3												-57	-962															
619	114	418	==>	1						114	418																					
620	-897	389	==>	3												-897	389															
621	-820	543	==>	3												-820	543															
622	-199	-706	==>	2									-199	-706																		
623	-518	364	==>	2									-518	364																		
624	-89	375	==>	1						-89	375																					
625	215	695	==>	2									215	695																		
626	298	-459	==>	2									298	-459																		
627	231	79	==>	0			231	79																								
628	983	285	==>	3												983	285															
629	720	755	==>	3												720	755															
630	353	326	==>	1						353	326																					
631	683	-620	==>	3												683	-620															
632	520	-814	==>	3												520	-814															
633	925	443	==>	3												925	443															
634	245	146	==>	1						245	146																					
635	429	-838	==>	3												429	-838															
636	494	496	==>	2									494	496																		
637	-544	724	==>	3												-544	724															
638	-779	323	==>	3												-779	323															
639	86	903	==>	3												86	903															
640	-473	-486	==>	2									-473	-486																		
641	834	-72	==>	3												834	-72															
642	433	928	==>	3												433	928															
643	-847	-384	==>	3												-847	-384															
644	-209	34	==>	0			-209	34																								
645	478	-289	==>	2									478	-289																		
646	-469	-583	==>	2									-469	-583																		
647	-897	-24	==>	3												-897	-24															
648	949	-788	==>	3												949	-788															
649	-905	306	==>	3												-905	306															
650	219	-311	==>	1						219	-311																					
651	-487	-967	==>	3												-487	-967															
652	-319	382	==>	1						-319	382																					
653	-742	615	==>	3												-742	615															
654	-597	-18	==>	2									-597	-18																		
655	-724	973	==>	3												-724	973															
656	957	-244	==>	3												957	-244															
657	-948	-355	==>	3												-948	-355															
658	-198	-224	==>	1						-198	-224																					
659	568	-833	==>	3												568	-833															
660	192	-126	==>	0			192	-126																								
661	921	86	==>	3												921	86															
662	-351	-477	==>	2									-351	-477																		
663	-93	842	==>	3												-93	842															
664	-499	417	==>	2									-499	417																		
665	-834	-553	==>	3												-834	-553															
666	713	890	==>	3												713	890															
667	239	826	==>	3												239	826															
668	-661	294	==>	2									-661	294																		
669	35	685	==>	2									35	685																		
670	-943	766	==>	3												-943	766															
671	-162	845	==>	3												-162	845															
672	447	288	==>	2									447	288																		
673	-849	-463	==>	3												-849	-463															
674	-42	830	==>	3												-42	830															
675	-627	320	==>	2									-627	320																		
676	551	906	==>	3												551	906															
677	583	914	==>	3												583	914															
678	518	977	==>	3												518	977															
679	-919	-990	==>	3												-919	-990															
680	-714	-764	==>	3												-714	-764															
681	33	-275	==>	1						33	-275																					
682	422	-58	==>	1						422	-58																					
683	307	-364	==>	1						307	-364																					
684	305	192	==>	1						305	192																					
685	-245	173	==>	1						-245	173																					
686	309	842	==>	3												309	842															
687	169	305	==>	1						169	305																					
688	834	-425	==>	3												834	-425															
689	-928	-14	==>	3												-928	-14															
690	-910	80	==>	3												-910	80															
691	504	-679	==>	3												504	-679															
692	-528	732	==>	3												-528	732															
693	785	-5	==>	3												785	-5															
694	580	215	==>	2									580	215																		
695	-564	-550	==>	3												-564	-550															
696	869	593	==>	3												869	593															
697	-537	-308	==>	2									-537	-308																		
698	240	-508	==>	2									240	-508																		
699	-536	-282	==>	2									-536	-282																		
700	518	-256	==>	2									518	-256																		
701	741	-992	==>	3												741	-992															
702	706	561	==>	3												706	561															
703	713	-132	==>	2									713	-132																		
704	-448	-561	==>	2									-448	-561																		
705	-813	928	==>	3												-813	928															
706	16	910	==>	3												16	910															
707	-348	357	==>	1						-348	357																					
708	152	-476	==>	1						152	-476																					
709	502	-182	==>	2									502	-182																		
710	129	-148	==>	0			129	-148																								
711	613	-993	==>	3												613	-993															
712	-587	-790	==>	3												-587	-790															
713	790	237	==>	3												790	237															
714	-304	797	==>	3												-304	797															
715	-581	409	==>	2									-581	409																		
716	-701	-21	==>	2									-701	-21																		
717	187	674	==>	2									187	674																		
718	852	-56	==>	3												852	-56															
719	309	-434	==>	2									309	-434																		
720	-82	629	==>	2									-82	629																		
721	661	-578	==>	3												661	-578															
722	972	377	==>	3												972	377															
723	-589	-435	==>	2									-589	-435																		
724	460	730	==>	3												460	730															
725	-74	429	==>	1						-74	429																					
726	-776	-608	==>	3												-776	-608															
727	298	898	==>	3												298	898															
728	-470	650	==>	3												-470	650															
729	654	-628	==>	3												654	-628															
730	-266	793	==>	3												-266	793															
731	-426	995	==>	3												-426	995															
732	202	420	==>	1						202	420																					
733	-713	-222	==>	2									-713	-222																		
734	-441	-809	==>	3												-441	-809															
735	-161	-624	==>	2									-161	-624																		
736	628	-392	==>	2									628	-392																		
737	-905	-352	==>	3												-905	-352															
738	44	502	==>	2									44	502																		
739	-441	-622	==>	3												-441	-622															
740	859	-836	==>	3												859	-836															
741	-742	996	==>	3												-742	996															
742	-579	873	==>	3												-579	873															
743	-642	646	==>	3												-642	646															
744	-785	-947	==>	3												-785	-947															
745	832	-553	==>	3												832	-553															
746	-854	942	==>	3												-854	942															
747	511	276	==>	2									511	276																		
748	-188	-485	==>	2									-188	-485																		
749	459	832	==>	3												459	832															
750	-167	-607	==>	2									-167	-607																		
751	-983	-426	==>	3												-983	-426															
752	620	545	==>	3												620	545															
